id,firmannualreportid,ispassive,isadvisor,age,ownershippercent,yearjoinedfirm
311,150,False,True,48.0,17.0,2008.0
312,150,False,True,47.0,18.0,2008.0
313,151,False,True,72.0,65.0,2008.0
314,151,False,True,48.0,17.0,2008.0
315,151,False,True,47.0,18.0,2008.0
316,152,False,True,72.0,65.0,2008.0
317,152,False,True,48.0,17.0,2008.0
318,152,False,True,47.0,18.0,2008.0
319,153,False,True,49.0,27.8,2010.0
320,153,False,True,46.0,27.8,2010.0
321,153,False,True,43.0,12.0,2009.0
322,153,False,True,41.0,4.5,2010.0
323,153,False,False,46.0,27.8,2010.0
324,154,False,True,59.0,50.0,1997.0
325,154,False,True,64.0,50.0,1997.0
326,155,False,True,53.0,100.0,1992.0
327,156,False,True,55.0,100.0,1992.0
328,157,False,True,48.0,100.0,2000.0
329,158,False,True,48.0,100.0,2015.0
330,159,False,True,48.0,100.0,2015.0
331,160,False,True,62.0,40.0,1999.0
332,160,True,False,52.0,60.0,2011.0
333,161,False,True,62.0,40.0,1999.0
334,161,True,False,52.0,60.0,2011.0
335,162,False,True,56.0,50.0,1998.0
336,162,True,False,57.0,50.0,2003.0
337,163,False,True,56.0,100.0,1998.0
338,164,False,True,43.0,50.0,2006.0
339,164,False,True,42.0,50.0,2006.0
340,165,False,True,44.0,50.0,2006.0
341,165,False,True,43.0,50.0,2006.0
342,166,False,True,45.0,50.0,2006.0
343,166,False,True,44.0,50.0,2006.0
344,167,False,True,62.0,100.0,2008.0
345,168,False,True,62.0,100.0,1994.0
346,169,False,True,58.0,40.0,1997.0
347,169,False,True,63.0,40.0,1997.0
348,169,False,True,37.0,20.0,2007.0
349,170,False,True,40.0,100.0,2015.0
350,171,False,True,45.0,100.0,2005.0
351,172,False,True,45.0,100.0,2005.0
352,173,False,True,45.0,100.0,2005.0
353,174,False,True,46.0,50.0,2009.0
354,174,False,True,46.0,50.0,2009.0
355,175,False,True,46.0,50.0,2009.0
356,175,False,True,46.0,50.0,2009.0
357,176,False,False,50.0,40.7,1987.0
358,176,False,False,36.0,39.11,2010.0
359,176,False,True,54.0,20.19,2015.0
